CONT_NO,CONT_YYMM,MBR_NO,PLAN_ID,CALL_ID,STATUS,CALL_CAT,CRT_DATE,UPD_DATE,IS_COMPLAINT
CONT1001,202201,MBR000046,PLANC1,CALL167378,O,VP,2022-02-17,2022-02-24,0
CONT1001,202201,MBR000046,PLANC1,CALL965520,W,BP,2023-01-27,2023-01-31,0
CONT1001,202201,MBR000047,PLANC1,CALL404195,C,XP,2023-09-12,2023-10-02,1
CONT1001,202201,MBR000048,PLANC1,CALL704957,W,BC,2022-06-13,2022-06-17,0
CONT1001,202201,MBR000050,PLANC1,CALL857877,O,VP,2023-06-07,2023-06-15,1
CONT1001,202201,MBR000051,PLANC1,CALL430550,O,MT,2022-03-13,2022-03-22,0
CONT1001,202201,MBR000052,PLANC1,CALL277238,W,MT,2024-01-30,2024-02-19,0
CONT1001,202201,MBR000055,PLANC1,CALL795563,W,AR,2023-07-17,2023-08-04,0
CONT1001,202201,MBR000055,PLANC1,CALL410009,O,MT,2023-02-25,2023-02-26,0
CONT1001,202201,MBR000055,PLANC1,CALL213283,C,BC,2022-03-21,2022-04-10,0
CONT1001,202201,MBR000055,PLANC1,CALL305033,W,AR,2023-03-14,2023-03-28,0
CONT1001,202201,MBR000056,PLANC1,CALL437872,C,PR,2023-06-09,2023-06-17,0
CONT1001,202201,MBR000056,PLANC1,CALL567172,W,MT,2023-02-26,2023-03-11,0
CONT1001,202201,MBR000059,PLANC1,CALL565691,O,AR,2024-07-05,2024-07-16,0
CONT1001,202201,MBR000061,PLANC1,CALL324578,C,AP,2024-08-16,2024-09-03,1
CONT1001,202201,MBR000063,PLANC1,CALL595201,W,AP,2023-01-16,2023-01-27,0
CONT1001,202201,MBR000064,PLANC1,CALL558991,W,VP,2023-12-24,2024-01-03,0
CONT1001,202201,MBR000065,PLANC1,CALL713910,C,AR,2024-11-01,2024-11-17,0
CONT1001,202201,MBR000065,PLANC1,CALL235275,O,AP,2022-01-12,2022-02-01,0
CONT1001,202201,MBR000065,PLANC1,CALL921981,C,BP,2022-02-08,2022-02-17,0
CONT1001,202201,MBR000067,PLANC1,CALL239153,O,BP,2024-08-01,2024-08-18,0
CONT1001,202201,MBR000067,PLANC1,CALL860884,W,XP,2024-03-20,2024-03-21,0
CONT1001,202201,MBR000067,PLANC1,CALL672962,C,XC,2024-09-09,2024-10-06,0
CONT1001,202201,MBR000067,PLANC1,CALL115656,W,XP,2024-08-17,2024-08-17,1
CONT1001,202201,MBR000068,PLANC1,CALL378256,W,XC,2023-10-06,2023-10-29,0
CONT1001,202201,MBR000070,PLANC1,CALL276637,C,AP,2022-02-24,2022-02-28,0
CONT1001,202201,MBR000072,PLANC1,CALL690068,O,AP,2024-07-18,2024-08-11,0
CONT1001,202201,MBR000073,PLANC1,CALL858071,W,BC,2023-01-30,2023-02-19,0
CONT1001,202201,MBR000075,PLANC1,CALL335212,C,VP,2023-08-27,2023-09-24,0
CONT1001,202201,MBR000076,PLANC1,CALL431076,C,XC,2024-02-23,2024-03-21,0
CONT1001,202201,MBR000077,PLANC1,CALL913483,O,AC,2022-11-27,2022-12-18,0
CONT1001,202201,MBR000078,PLANC1,CALL584534,W,BC,2022-08-22,2022-08-29,0
CONT1001,202201,MBR000079,PLANC1,CALL621693,C,XC,2022-06-28,2022-07-19,0
CONT1001,202201,MBR000079,PLANC1,CALL935792,W,MT,2023-10-20,2023-10-27,1
CONT1001,202201,MBR000080,PLANC1,CALL503591,W,PR,2024-01-16,2024-02-13,0
CONT1001,202201,MBR000080,PLANC1,CALL833069,O,AP,2023-11-07,2023-11-30,0
CONT1001,202201,MBR000082,PLANC1,CALL715161,O,VP,2024-01-30,2024-02-08,1
CONT1001,202201,MBR000082,PLANC1,CALL569211,C,VP,2022-05-01,2022-05-15,0
CONT1001,202201,MBR000082,PLANC1,CALL186487,W,MT,2022-11-03,2022-11-26,0
CONT1001,202201,MBR000083,PLANC1,CALL395967,O,MT,2022-01-02,2022-01-15,0
CONT1001,202201,MBR000083,PLANC1,CALL189897,C,XC,2024-05-28,2024-06-18,0
CONT1001,202201,MBR000084,PLANC1,CALL316460,W,BP,2023-03-18,2023-03-18,0
CONT1001,202201,MBR000084,PLANC1,CALL510780,W,PR,2024-02-13,2024-02-15,1
CONT1001,202201,MBR000085,PLANC1,CALL960984,O,XC,2023-03-01,2023-03-07,0
CONT1001,202201,MBR000086,PLANC1,CALL432352,O,BP,2022-03-12,2022-03-30,0
CONT1001,202201,MBR000087,PLANC1,CALL447893,O,BC,2022-05-24,2022-06-04,0
CONT1001,202201,MBR000087,PLANC1,CALL146517,O,BC,2022-09-29,2022-09-30,1
CONT1001,202201,MBR000091,PLANC1,CALL926112,O,AP,2023-07-24,2023-07-30,0
CONT1001,202201,MBR000092,PLANC1,CALL762596,C,XP,2023-04-29,2023-05-03,1
CONT1001,202201,MBR000092,PLANC1,CALL340173,C,BP,2024-12-11,2024-12-21,0
CONT1001,202201,MBR000092,PLANC1,CALL696564,O,BP,2022-05-25,2022-06-02,0
CONT1001,202201,MBR000094,PLANC1,CALL844102,O,MT,2024-05-10,2024-05-19,0
CONT1001,202201,MBR000094,PLANC1,CALL293572,W,VP,2022-09-06,2022-09-12,1
CONT1001,202201,MBR000095,PLANC1,CALL618777,W,AP,2024-02-17,2024-03-07,0
CONT1001,202201,MBR000096,PLANC1,CALL472325,O,XC,2023-09-24,2023-09-30,0
CONT1001,202201,MBR000096,PLANC1,CALL864129,C,XP,2024-12-23,2025-01-07,1
CONT1001,202201,MBR000097,PLANC1,CALL762209,W,AP,2023-03-11,2023-03-21,0
CONT1001,202201,MBR000100,PLANC1,CALL480484,W,AR,2023-09-19,2023-09-26,0
CONT1001,202201,MBR000100,PLANC1,CALL408731,O,PR,2022-06-09,2022-06-12,0
CONT1001,202201,MBR000101,PLANC1,CALL263146,C,AC,2023-07-03,2023-07-17,1
CONT1001,202201,MBR000101,PLANC1,CALL393969,W,AP,2023-05-15,2023-05-23,0
CONT1001,202201,MBR000102,PLANC1,CALL266464,O,XC,2022-02-05,2022-02-08,1
CONT1001,202201,MBR000102,PLANC1,CALL869461,O,AP,2022-02-02,2022-02-02,0
CONT1001,202201,MBR000105,PLANC1,CALL182609,C,PR,2024-05-24,2024-06-18,0
CONT1001,202201,MBR000105,PLANC1,CALL546669,O,BP,2024-12-13,2025-01-09,0
CONT1001,202201,MBR000111,PLANC1,CALL435887,C,BC,2022-06-16,2022-07-06,0
CONT1001,202201,MBR000112,PLANC1,CALL137073,W,XC,2023-09-29,2023-10-05,0
CONT1001,202201,MBR000114,PLANC1,CALL985885,O,AR,2022-06-21,2022-06-29,0
CONT1001,202201,MBR000114,PLANC1,CALL382298,W,AC,2023-06-20,2023-07-10,0
CONT1001,202201,MBR000116,PLANC1,CALL525637,W,VP,2024-08-11,2024-08-20,0
CONT1001,202201,MBR000116,PLANC1,CALL115099,W,XP,2022-11-14,2022-11-15,0
CONT1001,202201,MBR000117,PLANC1,CALL434505,O,AP,2023-05-04,2023-05-05,0
CONT1001,202201,MBR000117,PLANC1,CALL682767,O,XP,2024-07-06,2024-07-16,0
CONT1001,202201,MBR000119,PLANC1,CALL932538,C,XC,2024-12-20,2024-12-30,0
CONT1001,202201,MBR000119,PLANC1,CALL879203,W,AR,2022-10-18,2022-11-07,0
CONT1001,202201,MBR000120,PLANC1,CALL372459,C,AC,2023-04-30,2023-05-01,0
CONT1001,202201,MBR000120,PLANC1,CALL171022,O,XC,2022-05-12,2022-05-24,0
CONT1001,202201,MBR000121,PLANC1,CALL991244,O,XP,2024-01-26,2024-02-04,1
CONT1001,202201,MBR000121,PLANC1,CALL517641,C,AP,2023-12-24,2023-12-31,0
CONT1001,202201,MBR000124,PLANC1,CALL857514,W,XP,2024-11-11,2024-12-05,0
CONT1001,202201,MBR000124,PLANC1,CALL443197,O,AC,2022-09-29,2022-10-27,0
CONT1001,202201,MBR000126,PLANC1,CALL526298,C,XC,2022-10-18,2022-11-07,0
CONT1001,202201,MBR000128,PLANC1,CALL347892,O,MT,2022-07-07,2022-07-16,1
CONT1001,202201,MBR000130,PLANC1,CALL301634,W,XP,2023-12-04,2023-12-27,0
CONT1001,202201,MBR000130,PLANC1,CALL779961,O,PR,2024-10-14,2024-11-06,0
CONT1001,202201,MBR000131,PLANC1,CALL308630,C,AR,2024-07-24,2024-07-30,0
CONT1001,202201,MBR000131,PLANC1,CALL743919,W,VP,2023-09-11,2023-09-22,0
CONT1001,202201,MBR000132,PLANC1,CALL616351,C,BC,2023-04-08,2023-04-29,0
CONT1001,202201,MBR000133,PLANC1,CALL307351,O,XC,2024-05-22,2024-06-16,0
CONT1001,202201,MBR000135,PLANC1,CALL693458,C,AR,2024-05-26,2024-06-06,0
CONT1001,202201,MBR000136,PLANC1,CALL827400,W,BP,2022-03-11,2022-04-02,1
CONT1001,202201,MBR000137,PLANC1,CALL710383,O,XP,2024-02-23,2024-03-07,0
CONT1001,202201,MBR000137,PLANC1,CALL953553,C,AP,2023-02-27,2023-03-27,0
CONT1001,202201,MBR000137,PLANC1,CALL543620,W,BP,2022-12-29,2023-01-17,0
CONT1001,202201,MBR000138,PLANC1,CALL830678,C,MT,2023-11-12,2023-12-11,0
CONT1001,202201,MBR000138,PLANC1,CALL385566,C,MT,2024-09-29,2024-10-13,0
CONT1001,202201,MBR000139,PLANC1,CALL714460,C,BP,2022-12-27,2023-01-18,0
CONT1001,202201,MBR000140,PLANC1,CALL468870,O,PR,2022-08-01,2022-08-05,0
CONT1001,202201,MBR000141,PLANC1,CALL674190,O,AR,2022-03-29,2022-04-01,0
CONT1001,202201,MBR000141,PLANC1,CALL701742,W,BP,2022-08-15,2022-09-09,0
CONT1001,202201,MBR000143,PLANC1,CALL498806,O,XP,2024-07-12,2024-07-16,0
CONT1001,202201,MBR000145,PLANC1,CALL279812,W,AC,2024-11-18,2024-11-26,0
CONT1001,202201,MBR000146,PLANC1,CALL502178,W,BC,2024-12-13,2024-12-25,0
CONT1001,202201,MBR000147,PLANC1,CALL540135,C,MT,2023-09-21,2023-09-29,0
CONT1001,202201,MBR000147,PLANC1,CALL804904,O,AR,2023-03-22,2023-04-01,0
CONT1001,202201,MBR000148,PLANC1,CALL855721,O,PR,2024-07-11,2024-07-31,1
CONT1001,202201,MBR000149,PLANC1,CALL905501,W,XC,2023-12-13,2024-01-07,0
CONT1001,202201,MBR000149,PLANC1,CALL497051,O,XP,2022-08-16,2022-08-26,0
CONT1001,202201,MBR000149,PLANC1,CALL441136,O,MT,2023-03-21,2023-04-19,0
CONT1001,202201,MBR000149,PLANC1,CALL265455,C,AP,2023-08-08,2023-09-06,0
CONT1001,202201,MBR000149,PLANC1,CALL588345,C,MT,2024-10-28,2024-11-05,0
CONT1001,202201,MBR000150,PLANC1,CALL107587,C,VP,2023-01-16,2023-01-20,0
CONT1001,202201,MBR000151,PLANC1,CALL246719,C,AR,2023-08-14,2023-08-19,1
CONT1002,202201,MBR000153,PLANA4,CALL443678,C,MT,2023-03-21,2023-04-17,0
CONT1002,202201,MBR000153,PLANA4,CALL250835,O,AC,2024-08-14,2024-08-29,0
CONT1002,202201,MBR000154,PLANA4,CALL399995,C,PR,2022-09-10,2022-09-11,1
CONT1002,202201,MBR000155,PLANA4,CALL440724,C,MT,2022-09-14,2022-10-01,0
CONT1002,202201,MBR000156,PLANA4,CALL949649,O,BP,2023-07-08,2023-07-23,0
CONT1002,202201,MBR000159,PLANA4,CALL373096,O,AC,2024-01-18,2024-02-14,0
CONT1002,202201,MBR000159,PLANA4,CALL381020,C,XP,2023-10-25,2023-11-23,0
CONT1002,202201,MBR000160,PLANA4,CALL497073,W,XC,2022-10-03,2022-10-14,0
CONT1002,202201,MBR000160,PLANA4,CALL191789,C,AP,2023-11-05,2023-11-08,1
CONT1002,202201,MBR000164,PLANA4,CALL431622,W,AP,2022-09-29,2022-10-09,0
CONT1002,202201,MBR000164,PLANA4,CALL957558,W,AP,2023-05-11,2023-05-14,0
CONT1002,202201,MBR000164,PLANA4,CALL198811,W,AR,2022-11-19,2022-12-08,0
CONT1002,202201,MBR000167,PLANA4,CALL259881,O,AP,2022-03-29,2022-04-17,0
CONT1002,202201,MBR000167,PLANA4,CALL834571,W,XP,2024-05-28,2024-06-10,0
CONT1002,202201,MBR000167,PLANA4,CALL502254,W,BC,2024-07-14,2024-08-03,0
CONT1002,202201,MBR000168,PLANA4,CALL371388,O,AC,2023-01-17,2023-02-05,1
CONT1002,202201,MBR000170,PLANA4,CALL607561,O,AC,2022-10-13,2022-10-20,1
CONT1002,202201,MBR000171,PLANA4,CALL930089,O,AR,2024-05-18,2024-06-10,0
CONT1002,202201,MBR000173,PLANA4,CALL489142,C,BP,2022-11-21,2022-12-05,1
CONT1002,202201,MBR000175,PLANA4,CALL662586,W,VP,2023-01-20,2023-02-12,1
CONT1002,202201,MBR000175,PLANA4,CALL637157,W,AC,2024-10-06,2024-10-06,0
CONT1002,202201,MBR000176,PLANA4,CALL935502,C,PR,2022-09-15,2022-10-12,0
CONT1002,202201,MBR000179,PLANA4,CALL582858,O,VP,2022-11-15,2022-12-05,1
CONT1002,202201,MBR000180,PLANA4,CALL696619,O,XC,2022-05-30,2022-06-04,1
CONT1002,202201,MBR000180,PLANA4,CALL133007,C,VP,2023-09-07,2023-09-16,0
CONT1002,202201,MBR000180,PLANA4,CALL224719,W,AP,2024-12-20,2024-12-22,0
CONT1002,202201,MBR000180,PLANA4,CALL837508,O,XP,2022-08-24,2022-08-31,1
CONT1002,202201,MBR000181,PLANA4,CALL129920,O,BC,2022-05-07,2022-05-18,1
CONT1002,202201,MBR000181,PLANA4,CALL689820,C,PR,2024-01-06,2024-01-16,0
CONT1002,202201,MBR000182,PLANA4,CALL496579,C,AR,2022-05-29,2022-06-01,0
CONT1002,202201,MBR000183,PLANA4,CALL168581,O,AC,2024-09-11,2024-10-03,0
CONT1002,202201,MBR000185,PLANA4,CALL313678,O,VP,2023-04-13,2023-04-21,0
CONT1002,202201,MBR000187,PLANA4,CALL891873,O,XP,2024-01-01,2024-01-06,0
CONT1002,202201,MBR000188,PLANA4,CALL789114,W,XC,2023-07-25,2023-07-28,1
CONT1002,202201,MBR000188,PLANA4,CALL901785,O,XC,2023-11-30,2023-12-23,0
CONT1002,202201,MBR000192,PLANA4,CALL970937,C,MT,2024-10-21,2024-10-26,0
CONT1002,202201,MBR000192,PLANA4,CALL864400,C,BC,2022-10-08,2022-10-20,0
CONT1002,202201,MBR000192,PLANA4,CALL523957,C,PR,2022-02-27,2022-03-11,1
CONT1002,202201,MBR000192,PLANA4,CALL315648,O,XC,2022-09-26,2022-10-18,0
CONT1002,202201,MBR000193,PLANA4,CALL208953,O,AC,2023-07-22,2023-08-07,0
CONT1002,202201,MBR000194,PLANA4,CALL181026,C,BP,2022-03-25,2022-03-30,0
CONT1002,202201,MBR000194,PLANA4,CALL419954,O,XP,2024-08-27,2024-09-23,0
CONT1002,202201,MBR000195,PLANA4,CALL785595,W,AP,2023-01-18,2023-02-09,0
CONT1002,202201,MBR000197,PLANA4,CALL297439,O,XP,2022-11-25,2022-11-25,0
CONT1002,202201,MBR000197,PLANA4,CALL509881,C,AC,2023-01-31,2023-03-01,0
CONT1002,202201,MBR000198,PLANA4,CALL519042,O,PR,2023-03-29,2023-04-21,0
CONT1002,202201,MBR000198,PLANA4,CALL141490,C,AR,2023-08-27,2023-09-25,1
CONT1002,202201,MBR000199,PLANA4,CALL163422,O,VP,2023-09-26,2023-10-07,0
CONT1002,202201,MBR000199,PLANA4,CALL388912,O,XC,2022-09-11,2022-09-27,0
CONT1002,202201,MBR000199,PLANA4,CALL545885,W,VP,2024-02-22,2024-02-27,0
CONT1002,202201,MBR000199,PLANA4,CALL307225,W,BP,2022-06-17,2022-06-27,0
CONT1002,202201,MBR000200,PLANA4,CALL205487,O,AP,2024-08-01,2024-08-23,1
CONT1002,202201,MBR000200,PLANA4,CALL508154,O,AP,2024-07-04,2024-07-10,0
CONT1002,202201,MBR000202,PLANA4,CALL237726,W,AP,2023-07-16,2023-07-31,0
CONT1002,202201,MBR000202,PLANA4,CALL133012,W,PR,2023-12-22,2023-12-30,1
CONT1002,202201,MBR000202,PLANA4,CALL909544,O,XC,2024-07-24,2024-07-25,0
CONT1002,202201,MBR000204,PLANA4,CALL773596,C,BP,2023-05-19,2023-05-31,0
CONT1002,202201,MBR000205,PLANA4,CALL182821,C,AP,2024-06-16,2024-06-18,0
CONT1002,202201,MBR000206,PLANA4,CALL781054,W,XP,2022-03-08,2022-03-29,0
CONT1002,202201,MBR000206,PLANA4,CALL545164,W,AP,2023-08-03,2023-08-19,1
CONT1002,202201,MBR000207,PLANA4,CALL197410,W,AC,2023-12-02,2023-12-09,1
CONT1002,202201,MBR000208,PLANA4,CALL492976,C,BC,2022-07-11,2022-07-19,0
CONT1002,202201,MBR000209,PLANA4,CALL594315,O,MT,2024-06-11,2024-07-10,1
CONT1002,202201,MBR000212,PLANA4,CALL162273,O,AP,2024-05-14,2024-06-08,0
CONT1002,202201,MBR000212,PLANA4,CALL258502,O,PR,2024-12-03,2024-12-06,0
CONT1002,202201,MBR000213,PLANA4,CALL414280,W,MT,2023-07-02,2023-07-07,0
CONT1002,202201,MBR000213,PLANA4,CALL814563,O,PR,2024-10-30,2024-11-02,0
CONT1002,202201,MBR000213,PLANA4,CALL270827,W,PR,2022-04-13,2022-04-26,0
CONT1002,202201,MBR000215,PLANA4,CALL402611,O,BP,2023-07-16,2023-07-31,0
CONT1002,202201,MBR000215,PLANA4,CALL307346,C,AP,2022-09-14,2022-09-26,0
CONT1002,202201,MBR000216,PLANA4,CALL133540,C,AP,2022-08-13,2022-09-10,1
CONT1002,202201,MBR000216,PLANA4,CALL566875,W,AR,2024-08-22,2024-09-01,0
CONT1002,202201,MBR000216,PLANA4,CALL152681,O,MT,2022-02-26,2022-03-05,0
CONT1002,202201,MBR000217,PLANA4,CALL447095,O,XP,2022-06-07,2022-06-11,0
CONT1002,202201,MBR000219,PLANA4,CALL356420,O,VP,2023-04-30,2023-05-15,0
CONT1002,202201,MBR000219,PLANA4,CALL903137,C,AC,2024-03-20,2024-04-15,0
CONT1002,202201,MBR000219,PLANA4,CALL723435,C,XP,2022-10-30,2022-11-25,0
CONT1002,202201,MBR000221,PLANA4,CALL352940,O,AR,2022-04-19,2022-04-21,1
CONT1002,202201,MBR000223,PLANA4,CALL709547,C,BC,2022-02-28,2022-03-22,0
CONT1002,202201,MBR000223,PLANA4,CALL898212,O,MT,2023-04-25,2023-05-23,0
CONT1002,202201,MBR000223,PLANA4,CALL466122,C,AP,2024-08-02,2024-08-20,0
CONT1002,202201,MBR000224,PLANA4,CALL724814,W,XC,2023-10-20,2023-11-05,0
CONT1002,202201,MBR000225,PLANA4,CALL266441,C,AC,2024-10-26,2024-11-13,0
CONT1002,202201,MBR000226,PLANA4,CALL813296,C,XC,2023-12-29,2024-01-06,1
CONT1002,202201,MBR000227,PLANA4,CALL644136,O,XC,2022-02-25,2022-03-07,0
CONT1002,202201,MBR000227,PLANA4,CALL277698,C,XC,2024-02-08,2024-02-19,1
CONT1002,202201,MBR000227,PLANA4,CALL648043,O,BP,2023-07-03,2023-07-07,0
CONT1002,202201,MBR000228,PLANA4,CALL444722,O,BP,2023-07-31,2023-08-24,1
CONT1002,202201,MBR000228,PLANA4,CALL558719,W,AC,2023-06-21,2023-07-18,0
CONT1002,202201,MBR000229,PLANA4,CALL432604,O,MT,2022-05-06,2022-05-31,0
CONT1002,202201,MBR000231,PLANA4,CALL796091,O,AR,2023-10-15,2023-11-03,0
CONT1002,202201,MBR000233,PLANA4,CALL366599,O,AR,2022-08-24,2022-08-24,0
CONT1002,202201,MBR000235,PLANA4,CALL764039,O,AC,2023-08-28,2023-09-23,1
CONT1002,202201,MBR000236,PLANA4,CALL389404,W,AP,2024-04-08,2024-04-14,0
CONT1002,202201,MBR000237,PLANA4,CALL306764,W,BP,2024-05-29,2024-06-02,0
CONT1002,202201,MBR000237,PLANA4,CALL382492,C,BC,2024-08-29,2024-09-17,1
CONT1002,202201,MBR000240,PLANA4,CALL810441,O,XP,2022-07-01,2022-07-05,0
CONT1002,202201,MBR000241,PLANA4,CALL532420,W,MT,2023-09-29,2023-10-24,0
CONT1002,202201,MBR000242,PLANA4,CALL761892,O,BP,2023-09-05,2023-09-11,0
CONT1002,202201,MBR000242,PLANA4,CALL875459,W,AC,2023-11-08,2023-12-05,0
CONT1002,202201,MBR000243,PLANA4,CALL766408,O,BP,2023-03-20,2023-04-16,0
CONT1002,202201,MBR000243,PLANA4,CALL157262,C,XP,2024-06-22,2024-07-04,0
CONT1002,202201,MBR000246,PLANA4,CALL535165,W,AR,2022-09-15,2022-10-10,1
CONT1002,202201,MBR000247,PLANA4,CALL673794,C,XP,2022-10-13,2022-10-26,1
CONT1002,202201,MBR000248,PLANA4,CALL852871,O,PR,2024-10-15,2024-10-27,0
CONT1002,202201,MBR000250,PLANA4,CALL373970,O,MT,2024-03-26,2024-04-06,0
CONT1002,202201,MBR000251,PLANA4,CALL422729,O,MT,2023-09-02,2023-09-26,0
CONT1002,202201,MBR000251,PLANA4,CALL514267,C,AC,2024-02-19,2024-03-07,1
CONT1002,202201,MBR000251,PLANA4,CALL744577,W,BC,2023-07-30,2023-08-02,0
CONT1002,202201,MBR000254,PLANA4,CALL918095,W,AP,2023-11-02,2023-11-11,0
CONT1002,202201,MBR000256,PLANA4,CALL103346,O,BC,2023-05-22,2023-06-15,0
CONT1002,202201,MBR000257,PLANA4,CALL316496,C,AP,2022-12-29,2023-01-09,0
CONT1002,202201,MBR000258,PLANA4,CALL222056,W,AR,2024-10-10,2024-11-02,0
CONT1002,202201,MBR000258,PLANA4,CALL287550,C,VP,2024-10-12,2024-10-16,0
CONT1002,202201,MBR000259,PLANA4,CALL565109,C,AP,2022-01-11,2022-01-19,0
CONT1002,202201,MBR000260,PLANA4,CALL785641,O,AR,2023-03-21,2023-04-05,0
CONT1002,202201,MBR000261,PLANA4,CALL872218,O,BP,2022-12-19,2023-01-13,0
CONT1002,202201,MBR000261,PLANA4,CALL998313,O,MT,2022-01-03,2022-01-25,0
CONT1002,202201,MBR000261,PLANA4,CALL733903,C,PR,2024-03-25,2024-04-18,1
CONT1002,202201,MBR000262,PLANA4,CALL830023,O,BC,2022-07-16,2022-07-18,0
CONT1002,202201,MBR000262,PLANA4,CALL789861,W,VP,2023-04-08,2023-05-04,0
CONT1002,202201,MBR000263,PLANA4,CALL567349,O,AC,2024-03-23,2024-03-27,1
CONT1002,202201,MBR000264,PLANA4,CALL800801,O,MT,2024-02-22,2024-02-26,0
CONT1002,202201,MBR000264,PLANA4,CALL603635,O,AC,2022-04-29,2022-05-09,1
CONT1002,202201,MBR000265,PLANA4,CALL867288,W,XC,2024-01-18,2024-02-03,0
CONT1002,202201,MBR000266,PLANA4,CALL125439,C,AR,2024-03-26,2024-04-02,0
CONT1002,202201,MBR000269,PLANA4,CALL654394,O,MT,2024-09-08,2024-09-25,0
CONT1002,202201,MBR000271,PLANA4,CALL367039,W,BC,2023-01-23,2023-02-18,0
CONT1002,202201,MBR000272,PLANA4,CALL872993,O,BP,2023-12-06,2023-12-27,1
CONT1002,202201,MBR000272,PLANA4,CALL589129,C,XP,2023-09-28,2023-10-17,0
CONT1002,202201,MBR000272,PLANA4,CALL742686,W,AR,2024-09-16,2024-10-06,0
CONT1002,202201,MBR000278,PLANA4,CALL544541,C,BC,2023-01-05,2023-01-25,1
CONT1002,202201,MBR000283,PLANA4,CALL370393,C,BC,2022-07-12,2022-07-14,0
CONT1002,202201,MBR000284,PLANA4,CALL642927,W,XC,2022-04-30,2022-05-16,0
